Word,Definition
decry,"When you dye your hair pink and orange, your mother decries your act as a horror and bursts into tears. She criticizes your choice of colors, stating that pink and purple would have looked better."
annals,"Annals are chronological historical records. Some annals recount the achievements of war heroes; others, in the form of high school yearbooks, record historically terrible hairstyles."
goad,"A goad is a pointy stick or other instrument used to prod something along. To goad is to poke something with that pointy stick. Either way, the pointiness is really essential for making things leap into action."
